MRF_Province,MRF_District,MRF_Facility,Facility_datim,TX_CURR _datim,TX_CURR _mrf,concordance,Province,District,Facility Name,Source
Harare Metropolitan,Chitungwiza,Seke North,Seke North - 101533 - Clinic,5964,6824,87.0%,Harare,Chitungwiza,Seke North - 101533 - Clinic,DPL
Harare Metropolitan,Chitungwiza,Zengeza,Zengeza Clinic - 100305 - Council Clinic,6062.0,6252.0,96.0%,Harare,Chitungwiza,Zengeza Clinic - 100305 - Council Clinic,DPL
Harare Metropolitan,Chitungwiza,Seke South,Seke South - 101534 - Clinic,5131.0,6432.0,79.0%,Harare,Chitungwiza,Seke South - 101534 - Clinic,Mobile
Harare Metropolitan,Chitungwiza,St Mary's,St. Mary's - 101633 - Clinic,6695.0,6925.0,96.0%,Harare,Chitungwiza,St. Mary's - 101633 - Clinic,Mobile
Harare Metropolitan,Epworth,Epworth Polyclinic,Epworth - 100451 - Poly Clinic,10318,11460,90.0%,Harare,Epworth,Epworth - 100451 - Poly Clinic,DPL
Harare Metropolitan,Epworth,Epworth Mission,Epworth - 100452 - Mission Clinic,1429.0,2940.0,48.0%,Harare,Epworth,Epworth - 100452 - Mission Clinic,Mobile
Harare Metropolitan,Epworth,Overspill,Overspill - 101399 - Satellite Clinic,6908,8190,84.0%,Harare,Epworth,Overspill - 101399 - Satellite Clinic,Mobile
Harare Metropolitan,Harare City,Belvedere Satellite,Belvedere - 100055 - Poly clinic,400.0,1840.0,21.0%,Harare,Harare,Belvedere - 100055 - Poly clinic,DPL
Harare Metropolitan,Harare City,Braeside FHS,Braeside - 100091 - Clinic,286.0,509.0,56.0%,Harare,Harare,Braeside - 100091 - Clinic,DPL
Harare Metropolitan,Harare City,Budiriro Poly,Budiriro - 100098 - Poly Clinic,40.0,5331.0,0.0%,Harare,Harare,Budiriro - 100098 - Poly Clinic,DPL
Harare Metropolitan,Harare City,Glen Norah Satellite,Glen Norah - 100506 - Satellite clinic,316.0,2349.0,13.0%,Harare,Harare,Glen Norah - 100506 - Satellite clinic,DPL
Harare Metropolitan,Harare City,Glen View Poly,Glen View - 100507 - Poly clinic,4929,5625,87.0%,Harare,Harare,Glen View - 100507 - Poly clinic,DPL
Harare Metropolitan,Harare City,Hatfield,Hatfield - 100585 - Clinic,323.0,2717.0,11.0%,Harare,Harare,Hatfield - 100585 - Clinic,DPL
Harare Metropolitan,Harare City,Highfield Poly,Highfield - 100593 - Poly Clinic,3864,4862,79.0%,Harare,Harare,Highfield - 100593 - Poly Clinic,DPL
Harare Metropolitan,Harare City,Kambuzuma,Kambuzuma - 100695 - Poly clinic,971.0,3065.0,31.0%,Harare,Harare,Kambuzuma - 100695 - Poly clinic,DPL
Harare Metropolitan,Harare City,Kuwadzana PolyClinic,Kuwadzana - 100751 - Poly Clinic,4838.0,5353.0,90.0%,Harare,Harare,Kuwadzana - 100751 - Poly Clinic,DPL
Harare Metropolitan,Harare City,Kuwadzana Phase 4,Kuwadzana Phase 4 -101851- Clinic,866.0,1962.0,44.0%,Harare,Harare,Kuwadzana Phase 4 -101851- Clinic,DPL
Harare Metropolitan,Harare City,Mabelreign Satellite,Mabelreign - 100791 - satellite clinic,879.0,2253.0,39.0%,Harare,Harare,Mabelreign - 100791 - satellite clinic,DPL
Harare Metropolitan,Harare City,Mabvuku Poly,Mabvuku - 100797 - Poly Clinic,4811.0,4730.0,98.0%,Harare,Harare,Mabvuku - 100797 - Poly Clinic,DPL
Harare Metropolitan,Harare City,Marlborough Satellite,Malborough - 100860 - Council Clinic,1985.0,1979.0,99.0%,Harare,Harare,Malborough - 100860 - Council Clinic,DPL
Harare Metropolitan,Harare City,Matapi,Matapi - 100944 - Clinic,818.0,1636.0,50.0%,Harare,Harare,Matapi - 100944 - Clinic,DPL
Harare Metropolitan,Harare City,Mbare PolyClinic,Mbare - 100987 - Poly clinic,4597,6856,67.0%,Harare,Harare,Mbare - 100987 - Poly clinic,DPL
Harare Metropolitan,Harare City,Mbare Hostels,Mbare Hostels - 100988 - Clinic,1349.0,2110.0,63.0%,Harare,Harare,Mbare Hostels - 100988 - Clinic,DPL
Harare Metropolitan,Harare City,Parirenyatwa,Parirenyatwa Primary Care - 101852,1251,2372,52.0%,Harare,Harare,Parirenyatwa Primary Care - 101852,DPL
Harare Metropolitan,Harare City,Rutsanana Poly,Rutsanana - 101491 - Clinic,3900.0,4057.0,96.0%,Harare,Harare,Rutsanana - 101491 - Clinic,DPL
Harare Metropolitan,Harare City,Tafara FHS,Tafara - 101669 - Clinic,761.0,1268.0,60.0%,Harare,Harare,Tafara - 101669 - Clinic,DPL
Harare Metropolitan,Harare City,Warren Park PolyClinic,Warren Park - 101760 - Poly clinic,3212.0,3448.0,93.0%,Harare,Harare,Warren Park - 101760 - Poly clinic,DPL
Harare Metropolitan,Harare City,Arcadia,Arcadia - 100015 - Clinic,603.0,973.0,61.0%,Harare,Harare,Arcadia - 100015 - Clinic,Mobile
Harare Metropolitan,Harare City,Avondale,Avondale - 100030 - Clinic,1274.0,1314.0,96.0%,Harare,Harare,Avondale - 100030 - Clinic,Mobile
Harare Metropolitan,Harare City,Beatrice Road,Beatrice Infectious - 100050 - Hospital,1233.0,3032.0,40.0%,Harare,Harare,Beatrice Infectious - 100050 - Hospital,Mobile
Harare Metropolitan,Harare City,Borrowdale,Borrowdale - 100086 - Clinic,1199.0,1268.0,94.0%,Harare,Harare,Borrowdale - 100086 - Clinic,Mobile
Harare Metropolitan,Harare City,Budiriro Satellite,Budiriro - 101889 - Satelite Clinic,107.0,1533.0,6.0%,Harare,Harare,Budiriro - 101889 - Satelite Clinic,Mobile
Harare Metropolitan,Harare City,Mbare Hostel CeSHHAR  Sisters',Cesshar Mbare,34,59,57.0%,Harare,Harare,Cesshar Mbare,Mobile
Harare Metropolitan,Harare City,Eastley FHS,Eastly - 100433 - Clinic,21.0,275,7.0%,Harare,Harare,Eastly - 100433 - Clinic,Mobile
Harare Metropolitan,Harare City,Glen View Satellite,Glen View - 100508 - Satellite clinic,823,1322,62.0%,Harare,Harare,Glen View - 100508 - Satellite clinic,Mobile
Harare Metropolitan,Harare City,Harare City,Greendale - 100535 - Clinic,223.0,324,68.0%,Harare,Harare,Greendale - 100535 - Clinic,Mobile
Harare Metropolitan,Harare City,Hatcliffe Poly,Hatcliffe - 100584 - Poly clinic,3494.0,5236.0,66.0%,Harare,Harare,Hatcliffe - 100584 - Poly clinic,Mobile
Harare Metropolitan,Harare City,Highlands FHS,Highlands - 100596 - Clinic,6.0,112,5.0%,Harare,Harare,Highlands - 100596 - Clinic,Mobile
Harare Metropolitan,Harare City,Highlands Primary Care,Highlands PCC,267.0,2064.0,12.0%,Harare,Harare,Highlands PCC,Mobile
Harare Metropolitan,Harare City,Hopley,Hopley - 100608 - Clinic,2754,4687,58.0%,Harare,Harare,Hopley - 100608 - Clinic,Mobile
Harare Metropolitan,Harare City,Mabvuku Satellite,Mabvuku - 100796 - Clinic,845.0,1755.0,48.0%,Harare,Harare,Mabvuku - 100796 - Clinic,Mobile
Harare Metropolitan,Harare City,Mount Pleasant,Mt. Pleasant - 101062 - Clinic,171.0,1267.0,13.0%,Harare,Harare,Mt. Pleasant - 101062 - Clinic,Mobile
Harare Metropolitan,Harare City,Mufakose Poly,Mufakose - 101085 - Poly clinic,3775.0,3805.0,99.0%,Harare,Harare,Mufakose - 101085 - Poly clinic,Mobile
Harare Metropolitan,Harare City,Mufakose FHS,Mufakose FHS,10,365,2.0%,Harare,Harare,Mufakose FHS,Mobile
Harare Metropolitan,Harare City,Rujeko,Rujeko - 101469 - Poly clinic,1791,4787,37.0%,Harare,Harare,Rujeko - 101469 - Poly clinic,Mobile
Harare Metropolitan,Harare City,Southerton,Southerton - 101619 - Clinic,0.0,579.0,0.0%,Harare,Harare,Southerton - 101619 - Clinic,Mobile
Harare Metropolitan,Harare City,Stoneridge,Stoneridge,305,325,93.0%,Harare,Harare,Stoneridge,Mobile
Harare Metropolitan,Harare City,Wilkins Infectious Diseases,Wilkins Infectious Disease Hospital,3382,3758,89.0%,Harare,Harare,Wilkins Infectious Disease Hospital,Mobile
Harare Metropolitan,Ruwa,Ruwa PolyClinic,Ruwa - 101493 - Rural Health Centre,39.0,2128.0,1.0%,Harare,Ruwa,Ruwa - 101493 - Rural Health Centre,DPL
Harare Metropolitan,Ruwa,Ruwa Rehabilitation,Ruwa Rehabilitation - 101495,404,3664,11.0%,Harare,Ruwa,Ruwa Rehabilitation - 101495,Mobile
Manicaland,Mutare,Zimunya,Zimunya - 101805 - Clinic,304.0,999.0,30.0%,Manicaland,Mutare,Zimunya - 101805 - Clinic,DPL
Mashonaland Central,Guruve,Bakasa,Bakasa - 100035 - Clinic,500.0,479.0,95.0%,Mash. Central,Guruve,Bakasa - 100035 - Clinic,Mobile
Mashonaland Central,Guruve,Bepura,Bepura - 100058 - Clinic,718,1056,67.0%,Mash. Central,Guruve,Bepura - 100058 - Clinic,Mobile
Mashonaland Central,Guruve,Guruve,Guruve - 100553 - District Hospital,484,1353,35.0%,Mash. Central,Guruve,Guruve - 100553 - District Hospital,Mobile
Mashonaland Central,Guruve,Guruve Centre Rural Health,Guruve - 100554 - Clinic,1013,996,98.0%,Mash. Central,Guruve,Guruve - 100554 - Clinic,Mobile
Mashonaland Central,Mazowe,Bare,Bare - 100046 - Clinic,782,962,81.0%,Mash. Central,Mazowe,Bare - 100046 - Clinic,Mobile
Mashonaland Central,Mazowe,Concession,Concession - 100345 - District Hospital,1728,2414,71.0%,Mash. Central,Mazowe,Concession - 100345 - District Hospital,Mobile
Mashonaland Central,Mazowe,Dambo,Dambo - 100361 - Clinic,709,820,86.0%,Mash. Central,Mazowe,Dambo - 100361 - Clinic,Mobile
Mashonaland Central,Mazowe,Donje,Donje - 100409 - Clinic,477,698,68.0%,Mash. Central,Mazowe,Donje - 100409 - Clinic,Mobile
Mashonaland Central,Mazowe,Henderson,Henderson Research - 100590 - Clinic,984,1020,96.0%,Mash. Central,Mazowe,Henderson Research - 100590 - Clinic,Mobile
Mashonaland Central,Mazowe,Howard,Howard - 100611 - Mission Hospital,48.0,2153.0,2.0%,Mash. Central,Mazowe,Howard - 100611 - Mission Hospital,Mobile
Mashonaland Central,Mazowe,Mvurwi,Mvurwi - 101192 - Hospital,810,2560,31.0%,Mash. Central,Mazowe,Mvurwi - 101192 - Hospital,Mobile
Mashonaland Central,Mazowe,Nzvimbo,Nzvimbo - 101391 - Clinic,811,1068,75.0%,Mash. Central,Mazowe,Nzvimbo - 101391 - Clinic,Mobile
Mashonaland Central,Mazowe,Rosa Rural,Rosa - 101459 - Rural Hospital,90,2002,4.0%,Mash. Central,Mazowe,Rosa - 101459 - Rural Hospital,Mobile
Mashonaland Central,Mazowe,Suoguru,Suoguru Clinic,614,1210,50.0%,Mash. Central,Mazowe,Suoguru Clinic,Mobile
Mashonaland Central,Mazowe,Tsungubvi,Tsungubvi - 101717 - Clinic,1852,2576,71.0%,Mash. Central,Mazowe,Tsungubvi - 101717 - Clinic,Mobile
Mashonaland Central,Mbire,Angwa,Angwa - 100010 - Clinic,159,170,93.0%,Mash. Central,Mbire,Angwa - 100010 - Clinic,Mobile
Mashonaland Central,Mbire,Chitsungo,Chitsungo - 100303 - District Hospital,425,507,83.0%,Mash. Central,Mbire,Chitsungo - 100303 - District Hospital,Mobile
Mashonaland Central,Mbire,Mahuwe,Mahuwe - 100830 - Clinic,448.0,535.0,83.0%,Mash. Central,Mbire,Mahuwe - 100830 - Clinic,Mobile
Mashonaland Central,Mbire,Mushumbi RHC,Mushumbi - 101148 - Clinic,103.0,706.0,14.0%,Mash. Central,Mbire,Mushumbi - 101148 - Clinic,Mobile
Mashonaland Central,Mount Darwin,Karanda,Karanda - 100709 - Mission Hospital,813.0,813.0,100.0%,Mash. Central,Mt Darwin,Karanda - 100709 - Mission Hospital,DPL
Mashonaland Central,Mount Darwin,Matope,Matope - 100958 - Clinic,520,552,94.0%,Mash. Central,Mt Darwin,Matope - 100958 - Clinic,DPL
Mashonaland Central,Mount Darwin,Mount Darwin,Mt. Darwin - 101058 - District Hospital,1704,3689,46.0%,Mash. Central,Mt Darwin,Mt. Darwin - 101058 - District Hospital,Mobile
Mashonaland Central,Mount Darwin,Pfunyanguwo Rural Health Centre,Pfunyanguwo - 101414 - Clinic,269,329,81.0%,Mash. Central,Mt Darwin,Pfunyanguwo - 101414 - Clinic,Mobile
Mashonaland Central,Mount Darwin,Tsakare Rural Health Centre,Tsakare - 101708 - Clinic,147,370,39.0%,Mash. Central,Mt Darwin,Tsakare - 101708 - Clinic,Mobile
Mashonaland East,Goromonzi,Caledonia,Caledonia - 100115 - Clinic,1782,3012,59.0%,Mash. East,Goromonzi,Caledonia - 100115 - Clinic,DPL
Mashonaland East,Marondera,Kushinga Phikhelela Rural Health Centre,Kushinga Phikelela - 100749 - Clinic,801.0,971.0,82.0%,Mash. East,Marondera,Kushinga Phikelela - 100749 - Clinic,DPL
Mashonaland East,Murewa,Murewa Gvt,Murewa - 101129 - District Hospital,1612,1814,88.0%,Mash. East,Murehwa,Murewa - 101129 - District Hospital,DPL
Mashonaland East,Uzumba Maramba Pfungwe,Mutawatawa,Mutawatawa - 101170 - District Hosptal,649,761,85.0%,Mash. East,UMP,Mutawatawa - 101170 - District Hosptal,DPL
Mashonaland East,Goromonzi,Bromley,Bromley - 100093 - Rural Health Centre,398,899,44.0%,Mash. East,Goromonzi,Bromley - 100093 - Rural Health Centre,Mobile
Mashonaland East,Goromonzi,Chinyika,Chinyika - 100242 - Clinic,1297.0,1318.0,98.0%,Mash. East,Goromonzi,Chinyika - 100242 - Clinic,Mobile
Mashonaland East,Goromonzi,Henry John Reimer,John Reimer - 100668 - Clinic,443.0,669.0,66.0%,Mash. East,Goromonzi,John Reimer - 100668 - Clinic,Mobile
Mashonaland East,Goromonzi,Kowoyo,Kowoyo - 100742 - Clinic,1041.0,1309.0,79.0%,Mash. East,Goromonzi,Kowoyo - 100742 - Clinic,Mobile
Mashonaland East,Goromonzi,Kubatsirana,Kubatsirana - 100744 - Clinic,3,892,0.0%,Mash. East,Goromonzi,Kubatsirana - 100744 - Clinic,Mobile
Mashonaland East,Goromonzi,Makumbe,Makumbe - 100853 - District Hospital,2501.0,3180.0,78.0%,Mash. East,Goromonzi,Makumbe - 100853 - District Hospital,Mobile
Mashonaland East,Goromonzi,Mwanza Rural Health Centre,Mwanza - 101195 - Rural Health Centre,1098.0,1097.0,99.0%,Mash. East,Goromonzi,Mwanza - 101195 - Rural Health Centre,Mobile
Mashonaland East,Goromonzi,Rusike,Rusike - 101479 - Clinic,199.0,834.0,23.0%,Mash. East,Goromonzi,Rusike - 101479 - Clinic,Mobile
Mashonaland East,Goromonzi,St Joseph's,St. Joseph's - 101631 - Rural Health,1093,1351,80.0%,Mash. East,Goromonzi,St. Joseph's - 101631 - Rural Health,Mobile
Mashonaland East,Murewa,Kadzere Rural Health Centre,Kadzere - 100686 - Clinic,842.0,894.0,94.0%,Mash. East,Murehwa,Kadzere - 100686 - Clinic,Mobile
Mashonaland East,Murewa,St Paul's Musami,St. Paul's Musami - 101638 - Mission,2552,2504,98.0%,Mash. East,Murehwa,St. Paul's Musami - 101638 - Mission,Mobile
Mashonaland East,Seke,Beatrice Rural,Beatrice - 100049 - Rural Hospital,2685,1233,45.0%,Mash. East,Seke,Beatrice - 100049 - Rural Hospital,Mobile
Mashonaland East,Seke,Jonasi,Jonasi - 100673 - Clinic,1112,1424,78.0%,Mash. East,Seke,Jonasi - 100673 - Clinic,Mobile
Mashonaland East,Seke,Kunaka,Kunaka - 100746 - Rural Hospital,2601,2705,96.0%,Mash. East,Seke,Kunaka - 100746 - Rural Hospital,Mobile
Mashonaland East,Uzumba Maramba Pfungwe,Mashambanhaka,Mashambanhaka - 100924 - Clinic,618.0,597.0,96.0%,Mash. East,UMP,Mashambanhaka - 100924 - Clinic,Mobile
Mashonaland East,Uzumba Maramba Pfungwe,Tsokodeka,Tsokodeka clinic,86.0,84,97.0%,Mash. East,UMP,Tsokodeka clinic,Mobile
Mashonaland West,Chegutu,Padre Pio Poly,Padre Pio Poly Clinic,1282.0,1259.0,98.0%,Mash. West,Chegutu,Padre Pio Poly Clinic,DPL
Mashonaland West,Zvimba,Darwendale Rural,Darwendale - 100368 - Rural Hospital,749,1266,59.0%,Mash. West,Zvimba,Darwendale - 100368 - Rural Hospital,DPL
Mashonaland West,Mhondoro,Battlefieds,Battlefields,678,1729,39.0%,Mash. West,Mhondoro,Battlefields,Mobile
Masvingo,Chiredzi,Chiredzi,Chiredzi - 100264 - Hospital,67.0,4707.0,1.0%,Masvingo,Chiredzi,Chiredzi - 100264 - Hospital,Mobile
Masvingo,Chiredzi,Chizvirizvi Rural Health Centre,Chizvirizvi - 100329 - Clinic,241.0,266,90.0%,Masvingo,Chiredzi,Chizvirizvi - 100329 - Clinic,Mobile
Masvingo,Chiredzi,Rupangwana,Rapanguwana - 101442 - Clinic,648.0,690.0,93.0%,Masvingo,Chiredzi,Rapanguwana - 101442 - Clinic,Mobile
Masvingo,Chiredzi,Tshovani,Tsovani - 101715 - Clinic,1677.0,2491.0,67.0%,Masvingo,Chiredzi,Tsovani - 101715 - Clinic,Mobile
Masvingo,Chivi,Chivi,Chivi - 100319 - Rural Hospital,185.0,1260,14.0%,Masvingo,Chivi,Chivi - 100319 - Rural Hospital,Mobile
Masvingo,Chivi,Mandamabwe Rural Health Centre,Mhandamabwe - 101011 - RHC,1113,1170,95.0%,Masvingo,Chivi,Mhandamabwe - 101011 - RHC,Mobile
Masvingo,Chivi,Nyahombe Rural Health Centre,Nyahombe - 101316 - Clinic,1070.0,1321.0,80.0%,Masvingo,Chivi,Nyahombe - 101316 - Clinic,Mobile
Masvingo,Chivi,Zivuku,Zivuku - 101812 - Clinic,687.0,751.0,91.0%,Masvingo,Chivi,Zivuku - 101812 - Clinic,Mobile
Masvingo,Gutu,Chinyika Rural,Chinyika - 100243 - Rural Health Centre,520.0,719.0,72.0%,Masvingo,Gutu,Chinyika - 100243 - Rural Health Centre,Mobile
Masvingo,Gutu,Gutu,Gutu - 100557 - Mission Hospital,412.0,1360.0,30.0%,Masvingo,Gutu,Gutu - 100557 - Mission Hospital,Mobile
Masvingo,Gutu,Majada Rural Health Centre,Majada - 100833 - Rural Health Centre,107,653,16.0%,Masvingo,Gutu,Majada - 100833 - Rural Health Centre,Mobile
Masvingo,Gutu,Nemashakwe Rural Health Centre,Nemashakwe - 101224 - Clinic,0,271,0.0%,Masvingo,Gutu,Nemashakwe - 101224 - Clinic,Mobile
Masvingo,Gutu,Zvavahera Rural Health Centre,Zvavahera - 101824 - Clinic,304.0,489.0,62.0%,Masvingo,Gutu,Zvavahera - 101824 - Clinic,Mobile
Masvingo,Masvingo,Bondolfi,Bondolfi - 100082 - Rural Hospital,584.0,586.0,99.0%,Masvingo,Masvingo,Bondolfi - 100082 - Rural Hospital,Mobile
Masvingo,Masvingo,Charumbira,Charumbira - 100141 - Clinic,214,463,46.0%,Masvingo,Masvingo,Charumbira - 100141 - Clinic,Mobile
Masvingo,Masvingo,Guwa Rural Health Centre,Guwa - 100559 - Clinic,0.0,510.0,0.0%,Masvingo,Masvingo,Guwa - 100559 - Clinic,Mobile
Masvingo,Masvingo,Mapanzure,Mapanzure - 100884 - Clinic,0.0,648.0,0.0%,Masvingo,Masvingo,Mapanzure - 100884 - Clinic,Mobile
Masvingo,Masvingo,Morgenster,Mogenester - 101030 - Mission Hospital,2.0,1351.0,0.0%,Masvingo,Masvingo,Mogenester - 101030 - Mission Hospital,Mobile
Masvingo,Masvingo,Mucheke,Mucheke - 101077 - Clinic,490.0,2483.0,19.0%,Masvingo,Masvingo,Mucheke - 101077 - Clinic,Mobile
Masvingo,Masvingo,Mushandike Rural Health Centre,Mushandike - 101142 - Clinic,133,834,15.0%,Masvingo,Masvingo,Mushandike - 101142 - Clinic,Mobile
Masvingo,Masvingo,Musvovi Rural Health Centre,Musvovi - 101158 - Clinic,305.0,820.0,37.0%,Masvingo,Masvingo,Musvovi - 101158 - Clinic,Mobile
Masvingo,Masvingo,Nemamwa Rural Health Centre,Nemwanwa - 101228 - Clinic,1000,1350,74.0%,Masvingo,Masvingo,Nemwanwa - 101228 - Clinic,Mobile
Masvingo,Masvingo,Ngomahuru Rural Health Centre,Ngomahuru - 101253 - RHC,212,336,63.0%,Masvingo,Masvingo,Ngomahuru - 101253 - RHC,Mobile
Masvingo,Masvingo,Nyajena Rural,Nyajena - 101321 - Rural Hospital,91.0,764.0,11.0%,Masvingo,Masvingo,Nyajena - 101321 - Rural Hospital,Mobile
Masvingo,Masvingo,Nyikavanhu Rural Health Centre,Nyikavanhu - 101386 - RHC,319,1019,31.0%,Masvingo,Masvingo,Nyikavanhu - 101386 - RHC,Mobile
Masvingo,Masvingo,Renco Mine,Renco - 101449 - Mine Clinic,0.0,384,0.0%,Masvingo,Masvingo,Renco - 101449 - Mine Clinic,Mobile
Masvingo,Masvingo,Rujeko,Rujeko - 101468 - Clinic,1085,1483,73.0%,Masvingo,Masvingo,Rujeko - 101468 - Clinic,Mobile
Masvingo,Masvingo,Rukovo,Rukovo - 101470 - Clinic,63.0,515.0,12.0%,Masvingo,Masvingo,Rukovo - 101470 - Clinic,Mobile
Masvingo,Masvingo,Runyararo,Runyararo NW Council Clinic,1343,2183,61.0%,Masvingo,Masvingo,Runyararo NW Council Clinic,Mobile
Masvingo,Masvingo,Shonganiso,Shonganiso - 101566 - Clinic,389.0,386,99.0%,Masvingo,Masvingo,Shonganiso - 101566 - Clinic,Mobile
Masvingo,Masvingo,Shumba,Shumba - 101569 - Clinic,1.0,275.0,0.0%,Masvingo,Masvingo,Shumba - 101569 - Clinic,Mobile
Masvingo,Masvingo,Shumba,Shumba - 101569 - Clinic,1.0,807.0,0.0%,Masvingo,Masvingo,Shumba - 101569 - Clinic,Mobile
Masvingo,Masvingo,Zimuto BC,Zimuto BC-101885-Clinic,42.0,371,11.0%,Masvingo,Masvingo,Zimuto BC-101885-Clinic,Mobile
Masvingo,Mwenezi,Chimbudzi Rural Health Centre,Chimbudzi - 100211 - Clinic,462,571,80.0%,Masvingo,Mwenezi,Chimbudzi - 100211 - Clinic,Mobile
Masvingo,Mwenezi,Neshuro,Neshuro - 101232 - District Hospital,94,1521,6.0%,Masvingo,Mwenezi,Neshuro - 101232 - District Hospital,Mobile
Masvingo,Zaka,Bvukururu,Bvukururu - 100110 - Clinic,780.0,783.0,99.0%,Masvingo,Zaka,Bvukururu - 100110 - Clinic,Mobile
Masvingo,Zaka,Jerera Satellite,Jerera - 100659 - Satelite Clinic,2.0,975.0,0.0%,Masvingo,Zaka,Jerera - 100659 - Satelite Clinic,Mobile
