Province,District,Facility,TX_CURR ,,,,,,,,,,
Harare Metropolitan,Harare City,Infectious Diseases,0,,,,,,,,,,
Harare Metropolitan,Harare City,Insco Wellness,0,,,,,,,,,,
Harare Metropolitan,Harare City,Instacare Maternity and Medical Centre,0,,,,,,,,,,
Harare Metropolitan,Harare City,Island Hospice and Healthcare,0,,,,,,,,,,
Harare Metropolitan,Harare City,Kambuzuma,3065,,,,,,,,,,
Harare Metropolitan,Harare City,Kensington 24 HR,0,,,,,,,,,,
Harare Metropolitan,Harare City,Kjellsons Medical and Maternity,0,,,,,,,,,,
Harare Metropolitan,Harare City,Kuwadzana Phase 4,1962,,,,,,,,,,
Harare Metropolitan,Harare City,Kuwadzana PolyClinic,5353,,,,,,,,,,
Harare Metropolitan,Harare City,Mabelreign 24hr Medical Centre & Maternity,0,,,,,,,,,,
Harare Metropolitan,Harare City,Mabelreign Satellite,2253,,,,,,,,,,
Harare Metropolitan,Harare City,Mabvuku Poly,4730,,,,,,,,,,
Harare Metropolitan,Harare City,Mabvuku Satellite,1755,,,,,,,,,,
Harare Metropolitan,Harare City,Madokero 24Hr Medical Centre,0,,,,,,,,,,
Harare Metropolitan,Harare City,Manyame Airbase,0,,,,,,,,,,
Harare Metropolitan,Harare City,Marlborough Satellite,1979,,,,,,,,,,
Harare Metropolitan,Harare City,Mashambanzou Care Trust,52,,,,,,,,,,
Harare Metropolitan,Harare City,Matapi,1636,,,,,,,,,,
Harare Metropolitan,Harare City,Mazowe Peadiatric,0,,,,,,,,,,
Harare Metropolitan,Harare City,Mbare Hostel CeSHHAR  Sisters',59,,,,,,,,,,
Harare Metropolitan,Harare City,Mbare Hostels,2110,,,,,,,,,,
Harare Metropolitan,Harare City,Mbare PolyClinic,6856,,,,,,,,,,
Harare Metropolitan,Harare City,Mbare Population Services Zimbabwe Centre,0,,,,,,,,,,
Harare Metropolitan,Harare City,Mbuya Dorcas,0,,,,,,,,,,
Harare Metropolitan,Harare City,Medlink 24 Hour,0,,,,,,,,,,
Harare Metropolitan,Harare City,Metropolitan,0,,,,,,,,,,
Harare Metropolitan,Harare City,Milton Park Medical Center,0,,,,,,,,,,
Harare Metropolitan,Harare City,Montclaire  24hr Medical Centre,0,,,,,,,,,,
Harare Metropolitan,Harare City,Morris Depot Camp,0,,,,,,,,,,
Harare Metropolitan,Harare City,Mount Pleasant,1267,,,,,,,,,,
Harare Metropolitan,Harare City,Mufakose FHS,365,,,,,,,,,,
Harare Metropolitan,Harare City,Mufakose Poly,3805,,,,,,,,,,
Harare Metropolitan,Harare City,New Cranborne Matenity,0,,,,,,,,,,
Harare Metropolitan,Harare City,New Marlborough Private,0,,,,,,,,,,
Harare Metropolitan,Harare City,Newlands,7831,,,,,,,,,,
Harare Metropolitan,Harare City,"PSI New start Centre, Kwame",3805,,,,,,,,,,
Harare Metropolitan,Harare City,Pacific,0,,,,,,,,,,
Harare Metropolitan,Harare City,Parirenyatwa,2372,,,,,,,,,,
Harare Metropolitan,Harare City,Parktown,0,,,,,,,,,,
Harare Metropolitan,Harare City,Population Services Zimbabwe,0,,,,,,,,,,
Harare Metropolitan,Harare City,Prospect Palms,0,,,,,,,,,,
Harare Metropolitan,Harare City,Queen of Peace,56,,,,,,,,,,
Harare Metropolitan,Harare City,Red Cross,0,,,,,,,,,,
Harare Metropolitan,Harare City,Redcross Clinic CBD not for use,0,,,,,,,,,,
Harare Metropolitan,Harare City,Roland Square,0,,,,,,,,,,
Harare Metropolitan,Harare City,Royal Heights Medical Center,0,,,,,,,,,,
Harare Metropolitan,Harare City,Rujeko Poly,4787,,,,,,,,,,
Harare Metropolitan,Harare City,Rutsanana Poly,4057,,,,,,,,,,
Harare Metropolitan,Harare City,Santa Thadeu Health Services,0,,,,,,,,,,
Harare Metropolitan,Harare City,Southerton,579,,,,,,,,,,
Harare Metropolitan,Harare City,Southlea,0,,,,,,,,,,
Harare Metropolitan,Harare City,Spilhaus,8,,,,,,,,,,
Harare Metropolitan,Harare City,Spilhaus_Data,0,,,,,,,,,,
Harare Metropolitan,Harare City,St Annes,0,,,,,,,,,,
Harare Metropolitan,Harare City,St Wilfred’s Medical Centre,0,,,,,,,,,,
Harare Metropolitan,Harare City,Starlight,0,,,,,,,,,,
Harare Metropolitan,Harare City,Stoneridge,325,,,,,,,,,,
Harare Metropolitan,Harare City,Suburban Medical Center,0,,,,,,,,,,
Harare Metropolitan,Harare City,Sunningdale,1020,,,,,,,,,,
Harare Metropolitan,Harare City,Sunningdale Medical Centre,0,,,,,,,,,,
Harare Metropolitan,Harare City,Tafara FHS,1268,,,,,,,,,,
Harare Metropolitan,Harare City,The Michael Gelfand,0,,,,,,,,,,
Harare Metropolitan,Harare City,Trauma Centre Borrowdale,0,,,,,,,,,,
Harare Metropolitan,Harare City,University of Zimbabwe,0,,,,,,,,,,
Harare Metropolitan,Harare City,Uzima Haven Maternity,0,,,,,,,,,,
Harare Metropolitan,Harare City,Vee’s Health Centre,0,,,,,,,,,,
Harare Metropolitan,Harare City,Warren Park PolyClinic,3448,,,,,,,,,,
Harare Metropolitan,Harare City,Waterfalls,3329,,,,,,,,,,
Harare Metropolitan,Harare City,Waterfalls medical centre,0,,,,,,,,,,
Harare Metropolitan,Harare City,West End,0,,,,,,,,,,
Harare Metropolitan,Harare City,West View Clinic and Maternity,0,,,,,,,,,,
Harare Metropolitan,Harare City,West Wing Health Center,0,,,,,,,,,,
Harare Metropolitan,Harare City,Western Triangle,2948,,,,,,,,,,
Harare Metropolitan,Harare City,Westgate Hospital and Maternity,0,,,,,,,,,,
Harare Metropolitan,Harare City,Wilkins Infectious Diseases,3758,,,,,,,,,,
Harare Metropolitan,Harare City,Willowvale Medical and Martenity Centre,0,,,,,,,,,,
Harare Metropolitan,Harare City,ZAPSO,0,,,,,,,,,,
Harare Metropolitan,Harare City,ZPS Chikurubi Farm Prison,55,,,,,,,,,,
Harare Metropolitan,Harare City,ZPS Chikurubi Female Prison,105,,,,,,,,,,
Harare Metropolitan,Harare City,ZPS Chikurubi Maximum Prison,515,,,,,,,,,,
Harare Metropolitan,Harare City,ZPS Chikurubi Maximum Prison Psychiatric,27,,,,,,,,,,
Harare Metropolitan,Harare City,ZPS Chikurubi Prison Dependants,39,,,,,,,,,,
Harare Metropolitan,Harare City,ZPS Chikurubi Prison Staff,148,,,,,,,,,,
Harare Metropolitan,Harare City,ZPS Harare Central Kentuky Prison,0,,,,,,,,,,
Harare Metropolitan,Harare City,ZPS Harare Central Prison,434,,,,,,,,,,
Harare Metropolitan,Harare City,ZPS Harare Central Prison Dependants,94,,,,,,,,,,
Harare Metropolitan,Harare City,ZPS Harare Metropolitan Province Prisons,0,,,,,,,,,,
Harare Metropolitan,Harare City,ZPS Harare Remand Prison,239,,,,,,,,,,
Harare Metropolitan,Harare City,ZRP Support Unit Camp,0,,,,,,,,,,
Harare Metropolitan,Harare City,haKMD Medical Centre,0,,,,,,,,,,
Harare Metropolitan,Ruwa,Aedan,0,,,,,,,,,,
Harare Metropolitan,Ruwa,CIMAS Ruwa,0,,,,,,,,,,
Harare Metropolitan,Ruwa,Damofalls,0,,,,,,,,,,
Harare Metropolitan,Ruwa,Dr Maenzanise t/a Ruwa Family,0,,,,,,,,,,
Harare Metropolitan,Ruwa,Eastview Medical Center,0,,,,,,,,,,
Harare Metropolitan,Ruwa,Mukoti,0,,,,,,,,,,
Harare Metropolitan,Ruwa,Netcare Medical Centre,0,,,,,,,,,,
Harare Metropolitan,Ruwa,Ruwa,734,,,,,,,,,,
Harare Metropolitan,Ruwa,Ruwa PolyClinic,2128,,,,,,,,,,
Harare Metropolitan,Ruwa,Ruwa Rehabilitation,3664,,,,,,,,,,
Harare Metropolitan,Ruwa,Tariro health Damofalls MediClinic,0,,,,,,,,,,
Harare Metropolitan,Ruwa,Westview  medical centre,0,,,,,,,,,,
Harare Metropolitan,Ruwa,Windsor 24 hr,0,,,,,,,,,,
Manicaland,Buhera,Bangure,335,,,,,,,,,,
Manicaland,Buhera,Berenyazvizvi,259,,,,,,,,,,
Manicaland,Buhera,Betera Rural Health Centre,431,,,,,,,,,,
Manicaland,Buhera,Birchenough Bridge,2130,,,,,,,,,,
Manicaland,Buhera,Buhera Rural,1052,,,,,,,,,,
Manicaland,Buhera,Chabata,461,,,,,,,,,,
Manicaland,Buhera,Chapanduka,570,,,,,,,,,,
Manicaland,Buhera,Chapwanya,370,,,,,,,,,,
Manicaland,Buhera,Chawatama RHC,203,,,,,,,,,,
Manicaland,Buhera,Chimbudzi,410,,,,,,,,,,
Manicaland,Buhera,Chipondamidzi,92,,,,,,,,,,
Manicaland,Buhera,Chirozva,361,,,,,,,,,,
Manicaland,Buhera,Chiwenga,294,,,,,,,,,,
Manicaland,Buhera,Chiwese,386,,,,,,,,,,
Manicaland,Buhera,Dorowa,0,,,,,,,,,,
Manicaland,Buhera,Garamwera Rural Council,455,,,,,,,,,,
Manicaland,Buhera,Gombe,455,,,,,,,,,,
Manicaland,Buhera,Gunura,286,,,,,,,,,,
Manicaland,Buhera,Maburutse,0,,,,,,,,,,
Manicaland,Buhera,Madzimbashuro Rural Health Centre,509,,,,,,,,,,
Manicaland,Buhera,Mbundire,102,,,,,,,,,,
Manicaland,Buhera,Mombeyarara Rural Health Centre,538,,,,,,,,,,
Manicaland,Buhera,Msasa RDC,305,,,,,,,,,,
Manicaland,Buhera,Mudanda,693,,,,,,,,,,
Manicaland,Buhera,Mudawose,275,,,,,,,,,,
Manicaland,Buhera,Mukubu,0,,,,,,,,,,
Manicaland,Buhera,Munyanyi,1133,,,,,,,,,,
Manicaland,Buhera,Murambinda,2802,,,,,,,,,,
Manicaland,Buhera,Murwira Rural Health Centre,340,,,,,,,,,,
Manicaland,Buhera,Mutasa,46,,,,,,,,,,
Manicaland,Buhera,Mutepfe,403,,,,,,,,,,
Manicaland,Buhera,Mutiusinazita,460,,,,,,,,,,
Manicaland,Buhera,Muzokomba,662,,,,,,,,,,
Manicaland,Buhera,Ndyarima,83,,,,,,,,,,
Manicaland,Buhera,Nerutanga,660,,,,,,,,,,
Manicaland,Buhera,Nyashanu Mission,429,,,,,,,,,,
Manicaland,Buhera,Rambanepasi,438,,,,,,,,,,
Manicaland,Buhera,St Moses Chiremwa,144,,,,,,,,,,
Manicaland,Buhera,Zangama Rural Health Centre,424,,,,,,,,,,
Manicaland,Chimanimani,Arda Rusitu,46,,,,,,,,,,
Manicaland,Chimanimani,Biriwiri Rural,559,,,,,,,,,,
Manicaland,Chimanimani,Bumba Rural Health Centre,275,,,,,,,,,,
Manicaland,Chimanimani,Cashel,0,,,,,,,,,,
Manicaland,Chimanimani,Chakohwa,802,,,,,,,,,,
Manicaland,Chimanimani,Changazi Rural Health Centre,144,,,,,,,,,,
Manicaland,Chimanimani,Charlsewood,5,,,,,,,,,,
Manicaland,Chimanimani,Charter,131,,,,,,,,,,
Manicaland,Chimanimani,Chayamiti Rural Health Centre,104,,,,,,,,,,
Manicaland,Chimanimani,Chikukwa Rural Health Centre,184,,,,,,,,,,
Manicaland,Chimanimani,Chikwakwa,118,,,,,,,,,,
Manicaland,Chimanimani,Chikwizi,13,,,,,,,,,,
Manicaland,Chimanimani,Chimanimani Rural,697,,,,,,,,,,
Manicaland,Chimanimani,Chimanimani Urban,73,,,,,,,,,,
Manicaland,Chimanimani,Chimanimani urban,0,,,,,,,,,,
Manicaland,Chimanimani,Chiramba Rural Health Centre,30,,,,,,,,,,
Manicaland,Chimanimani,Chisengu,9,,,,,,,,,,
Manicaland,Chimanimani,Gudyanga,316,,,,,,,,,,
Manicaland,Chimanimani,Gwendingwe,7,,,,,,,,,,
Manicaland,Chimanimani,Hangani RDC,6,,,,,,,,,,
Manicaland,Chimanimani,Hlabiso,103,,,,,,,,,,
Manicaland,Chimanimani,Hotsprings RDC,86,,,,,,,,,,
Manicaland,Chimanimani,Martin Forest,4,,,,,,,,,,
Manicaland,Chimanimani,Mhakwe,59,,,,,,,,,,
Manicaland,Chimanimani,Mhandarume,15,,,,,,,,,,
Manicaland,Chimanimani,Muchadziya Rural Health Centre,452,,,,,,,,,,
Manicaland,Chimanimani,Mutambara,1141,,,,,,,,,,
Manicaland,Chimanimani,Mutsvangwa,554,,,,,,,,,,
Manicaland,Chimanimani,Ngorima,720,,,,,,,,,,
Manicaland,Chimanimani,Ngorima CeSHHAR Mobile Sister's,0,,,,,,,,,,
Manicaland,Chimanimani,Nhedziwa,280,,,,,,,,,,
Manicaland,Chimanimani,Nyabamba,73,,,,,,,,,,
Manicaland,Chimanimani,Nyahode,603,,,,,,,,,,
Manicaland,Chimanimani,Nyanyadzi Rural,1349,,,,,,,,,,
